chr	start	end	avg.rate_GCB	avg.rate_FL	avg.rate_BL
chr1	748461	748823	0.789167	0.565694	0.461111
chr1	800651	800961	0.788333	0.721667	0.410648
chr1	807945	808585	0.596	0.41975	0.181083
chr1	807945	808585	0.596	0.41975	0.181083
chr1	835124	835492	0.719722	0.609028	0.383704
chr1	1347827	1348008	0.449167	0.694306	0.795741
chr1	1131755	1131949	0.631111	0.447778	0.284722
chr1	1054410	1054680	0.653958	0.522187	0.240417
chr1	1311860	1312098	0.660278	0.594583	0.304815
chr1	1077327	1078974	0.629767	0.619283	0.303233
chr1	1080134	1080223	0.569231	0.698846	0.195
chr1	1007620	1007730	0.675833	0.489861	0.352037
chr1	1008366	1008470	0.494722	0.378472	0.146389
chr1	1267628	1267977	0.776625	0.738781	0.436167
chr1	1268243	1268491	0.856759	0.737083	0.45071
chr1	1094889	1095101	0.636667	0.592917	0.290278
chr1	1109469	1109695	0.314107	0.554777	0.553274
chr1	1109469	1109695	0.314107	0.554777	0.553274
chr1	1411172	1411672	0.329048	0.640536	0.621389
chr1	1353426	1353509	0.2725	0.255568	0.662955
chr1	1353929	1353982	0.477778	0.752083	0.811759
chr1	1355270	1355478	0.303929	0.451214	0.580095
chr1	1355270	1355478	0.303929	0.451214	0.580095
chr1	1355584	1355672	0.0888542	0.344323	0.52934
chr1	1355584	1355672	0.0888542	0.344323	0.52934
chr1	1355678	1355757	0.113214	0.314464	0.396845
chr1	1355678	1355757	0.113214	0.314464	0.396845
chr1	1355765	1355895	0.242426	0.487978	0.655368
chr1	1355765	1355895	0.242426	0.487978	0.655368
chr1	895052	895091	0.296136	0.387386	0.601439
chr1	895052	895091	0.296136	0.387386	0.601439
chr1	895300	895415	0.410125	0.496937	0.71075
chr1	895300	895415	0.410125	0.496937	0.71075
chr1	1785409	1786213	0.766667	0.689028	0.455093
chr1	1758687	1758795	0.18	0.551528	0.745185
chr1	1759498	1761097	0.143974	0.441026	0.432415
chr1	1766298	1767714	0.701635	0.726587	0.297628
chr1	1818207	1818447	0.821944	0.758056	0.4925
chr1	1712405	1713645	0.678488	0.619012	0.248915
chr1	1396125	1396212	0.219091	0.485795	0.540455
chr1	1397626	1398367	0.490761	0.39163	0.118768
chr1	1714859	1715072	0.660833	0.660556	0.306852
chr1	1139538	1139604	0.839722	0.666806	0.44963
chr1	1139690	1140529	0.695909	0.511307	0.383447
chr1	1151637	1151909	0.706875	0.492396	0.127153
chr1	1540393	1540713	0.690278	0.579028	0.246111
chr1	973119	973303	0.698676	0.613603	0.22152
chr1	978399	978548	0.783333	0.770104	0.435556
chr1	879541	880474	0.578716	0.528615	0.225473
chr1	879541	880474	0.578716	0.528615	0.225473
chr1	1164384	1165230	0.903011	0.836648	0.591042
chr1	1168111	1168153	0.504118	0.592647	0.791667
chr1	1168111	1168153	0.504118	0.592647	0.791667
chr1	1168218	1168261	0.5575	0.639861	0.790093
chr1	1168218	1168261	0.5575	0.639861	0.790093
chr1	1171817	1172012	0.580875	0.475062	0.164792
chr1	1178135	1178326	0.584881	0.512202	0.134762
chr1	2138132	2138382	0.61	0.576111	0.255278
chr1	2140073	2140212	0.651389	0.542917	0.348056
chr1	1363155	1363213	0.1925	0.409625	0.731667
chr1	1363155	1363213	0.1925	0.409625	0.731667
chr1	1372668	1372791	0.699107	0.529018	0.28744
chr1	1372963	1373131	0.610556	0.524167	0.262685
chr1	1374540	1374602	0.814722	0.735833	0.464444
chr1	933472	933584	0.240682	0.487841	0.513636
chr1	933685	933975	0.144356	0.400417	0.420997
chr1	937009	937059	0.190833	0.262917	0.448426
chr1	959348	960016	0.716667	0.630417	0.356111
chr1	2146344	2146768	0.68675	0.565125	0.3505
chr1	2146344	2146768	0.68675	0.565125	0.3505
chr1	2147775	2147860	0.758056	0.648472	0.273796
chr1	2204535	2205006	0.786111	0.680694	0.379352
chr1	2206690	2206888	0.204091	0.311932	0.451439
chr1	845588	845679	0.143889	0.455903	0.697778
chr1	845680	845882	0.131875	0.318073	0.384514
chr1	865253	865439	0.700909	0.563636	0.380227
chr1	2040214	2040379	0.692222	0.571389	0.356759
chr1	2245817	2245896	0.361538	0.452596	0.600641
chr1	2253725	2253911	0.395806	0.548226	0.718226
chr1	1905597	1905700	0.716667	0.577917	0.387037
chr1	1844848	1845162	0.655	0.545347	0.294259
chr1	1858000	1858248	0.57875	0.415536	0.224881
chr1	2508468	2508535	0.36225	0.512	0.6395
chr1	2372335	2372669	0.694722	0.553056	0.318704
chr1	2375683	2375749	0.346389	0.483889	0.678796
chr1	2377470	2377540	0.678864	0.557955	0.306742
chr1	2542567	2542614	0.261429	0.401786	0.530595
